Vertice, peso (V), Aresta, peso (A)
excelente, (2), cacador, (1) 
bigode, (6), luz, (1) 
bigode, (6), animal, (1) 
bigode, (6), sensivel, (1) 
cacador, (2), luz, (1) 
gato, (5), animais, (1) 
gato, (5), capacidade, (1) 
gato, (5), animal, (1) 
condicao, (2), luz, (1) 
ambiente, (2), excelente, (1) 
fascinante, (2), independencia, (1) 
capacidade, (3), claramente, (1) 
brilhante, (2), capacidade, (1) 
misterioso, (2), olho, (1) 
olho, (2), brilhante, (1) 
luz, (6), bigode, (3) 
claramente, (2), condicao, (1) 
animais, (2), fascinante, (1) 
animal, (4), gato, (2) 
mudanca, (2), ambiente, (1) 
comportamento, (2), misterioso, (1) 
sensivel, (2), mudanca, (1) 
independencia, (2), comportamento, (1) 
