Vertice, peso (V), Aresta, peso (A)
, (50), , (2) 
, (50), orgao, (1) 
, (50), scr, (1) 
, (50), cprm, (1) 
, (50), latitude, (1) 
, (50), fonte, (1) 
, (50), problema, (1) 
, (50), brumado, (1) 
, (50), morteskmano, (1) 
, (50), principalmente, (1) 
, (50), mde, (1) 
, (50), socioenvironmental, (1) 
, (50), milhoes, (1) 
, (50), mocambique, (2) 
, (50), relacao, (1) 
, (50), lcm, (1) 
, (50), multiresolution, (1) 
, (50), mg, (3) 
, (50), mina, (2) 
, (50), longitude, (1) 
participativasmodelagem, (2), espacialmente, (1) 
climaticasfloresta, (2), amazonicamodelagem, (1) 
governo, (8), distrito, (1) 
governo, (8), federal, (2) 
governo, (8), decada, (1) 
interativo, (2), plataforma, (1) 
corrego, (10), , (1) 
corrego, (10), ressaca, (2) 
corrego, (10), belo, (1) 
corrego, (10), brumadinhomg, (1) 
pico, (8), resultado, (1) 
pico, (8), vazo, (1) 
pico, (8), criacao, (1) 
pico, (8), modelo, (1) 
moderno, (2), uno, (1) 
subdividem-se, (2), categoria, (1) 
conexao, (4), neuronio, (1) 
conexao, (4), eficiente, (1) 
protected, (2), area, (1) 
emprego, (16), confusao, (1) 
emprego, (16), conjunto, (1) 
emprego, (16), energia, (1) 
emprego, (16), imagem, (1) 
emprego, (16), analise, (1) 
emprego, (16), geotecnologia, (1) 
emprego, (16), renda, (2) 
remoto, (24), concentracao, (1) 
remoto, (24), util, (1) 
remoto, (24), emprego, (1) 
remoto, (24), analise, (2) 
remoto, (24), particular, (1) 
remoto, (24), modelagem, (2) 
remoto, (24), encontro, (1) 
remoto, (24), avaliacao, (1) 
remoto, (24), geoprocessamento, (1) 
remoto, (24), relevante, (1) 
planificacion, (4), del, (2) 
utilizacao, (23), metodologia, (1) 
utilizacao, (23), software, (1) 
utilizacao, (23), ferramenta, (1) 
utilizacao, (23), sensoriamento, (1) 
utilizacao, (23), analise, (1) 
utilizacao, (23), geotecnologia, (1) 
utilizacao, (23), modelo, (2) 
utilizacao, (23), matriz, (1) 
utilizacao, (23), agua, (1) 
utilizacao, (23), pca, (1) 
utilizacao, (23), valendo-se, (1) 
geomorfologica, (2), bacia, (1) 
analysil, (2), questao, (1) 
glm, (2), sapo, (1) 
atrativo, (2), turistico, (1) 
estadual, (26), agente, (1) 
estadual, (26), hidrica, (1) 
estadual, (26), ambiente, (1) 
estadual, (26), rio, (7) 
estadual, (26), programa, (1) 
estadual, (26), reducao, (1) 
estadual, (26), multifuncionalidade, (1) 
-, (58), coronel, (1) 
-, (58), mediana, (2) 
-, (58), egoamazoniamodelagem, (1) 
-, (58), mt, (1) 
-, (58), brasil, (1) 
-, (58), regiao, (1) 
-, (58), m, (5) 
-, (58), uc, (1) 
-, (58), ndci, (1) 
-, (58), conforme, (1) 
-, (58), marianamg, (1) 
-, (58), swmm, (1) 
-, (58), perd, (1) 
-, (58), estacao, (1) 
-, (58), timoteo, (1) 
-, (58), mocambique, (1) 
-, (58), landsat-, (1) 
-, (58), mediano, (1) 
-, (58), mg, (5) 
-, (58), mdt, (1) 
geomorfologico, (4), sentido, (1) 
geomorfologico, (4), bacia, (1) 
defende-la, (2), presente, (1) 
demografica, (4), vetor, (1) 
demografica, (4), nivel, (1) 
distinto, (4), comprovacao, (1) 
distinto, (4), ritmo, (1) 
latino, (4), principal, (1) 
latino, (4), variavel, (1) 
adema, (2), algunos, (1) 
util, (10), transitofluxocentro, (1) 
util, (10), discussao, (1) 
