Vertice, peso (V), Aresta, peso (A)
habitat, (6), mamifero, (2) 
habitat, (6), forrageamento, (1) 
ambos, (4), bioma, (1) 
ambos, (4), afeta, (1) 
deslocamento, (4), indireto, (1) 
deslocamento, (4), competidor, (1) 
geotecnologia, (4), area, (1) 
geotecnologia, (4), ndvi, (1) 
mensuracoes, (4), fragmento, (1) 
mensuracoes, (4), atlanticacerradondvitapiru, (1) 
terrestre, (4), geotecnologia, (2) 
km, (4), original, (1) 
km, (4), ambos, (1) 
original, (4), km, (2) 
mamifero, (4), terrestre, (2) 
analise, (3), habitat, (1) 
analise, (3), paisagem, (1) 
