Vertice, peso (V), Aresta, peso (A)
expressao, (2), key, (1) 
bioma, (2), incipiente, (1) 
utilizou-se, (2), expressao, (1) 
regiao, (2), especialmente, (1) 
pico, (2), crescimento, (1) 
clima, (2), solo, (1) 
diferenca, (6), fisionomia, (1) 
diferenca, (6), solo, (1) 
diferenca, (6), temperatura, (1) 
analise, (4), conteudo, (1) 
analise, (4), pacote, (1) 
cujo, (2), perfil, (1) 
portanto, (4), imprescindivel, (1) 
portanto, (4), consideracao, (1) 
dentre, (2), porto, (1) 
relevante, (2), foco, (1) 
rodovia, (4), formacao, (1) 
rodovia, (4), brasil, (1) 
altimetrico, (2), cujo, (1) 
fonte, (2), pressao, (1) 
banco, (2), web, (1) 
vulnerabilidade, (2), formacao, (1) 
apresenta-se, (2), carente, (1) 
-, (2), apresentou-se, (1) 
autor, (4), periodico, (1) 
autor, (4), desmatamento, (1) 
impacto, (2), concentracao, (1) 
perfil, (4), km, (1) 
perfil, (4), altimetrico, (1) 
publicacao, (8), pesquisa, (1) 
publicacao, (8), comporta, (1) 
publicacao, (8), relevancia, (1) 
publicacao, (8), pais, (1) 
forneceria, (2), informacao, (1) 
producao, (4), destaque, (1) 
producao, (4), oportunidade, (1) 
biooceanico, (2), pedro, (1) 
contribuicao, (1), chaco, (1) 
iniciacao, (2), pesquisa, (1) 
avanco, (2), chaco, (1) 
incipiente, (2), perceptivel, (1) 
conteudo, (2), palavra-, (1) 
exotica, (2), especie, (1) 
caracteristica, (2), solo, (1) 
desmatamentofragmentacaocorredor, (2), biooceanico, (1) 
periodo, (2), utilizou-se, (1) 
instituicao, (2), analise, (1) 
consideracao, (2), futuro, (1) 
cinza, (2), drenagem, (1) 
aparicoes, (2), interacao, (1) 
palavra-chave, (2), tema, (1) 
dinamica, (2), populacao, (1) 
porto, (6), murtinho, (2) 
porto, (6), diferenca, (1) 
concentracao, (2), artigo, (1) 
web, (2), of, (1) 
longo, (2), rodovia, (1) 
palavra-, (2), analise, (1) 
centro, (2), networking, (1) 
comporta, (2), centro, (1) 
fato, (2), pais, (1) 
mudanca, (2), vegetacao, (1) 
manejo, (4), intensivo, (1) 
manejo, (4), bioma, (1) 
