Vertice, peso (V), Aresta, peso (A)
iom, (4), entao, (2) 
programa, (4), livre, (2) 
geografico, (4), geoquimico, (2) 
seco, (8), microbacia, (2) 
seco, (8), oxidacao, (2) 
quimico, (4), particular, (2) 
aumento, (4), condutividade, (2) 
corrego, (16), brejo, (2) 
corrego, (16), negro, (2) 
corrego, (16), sul, (2) 
corrego, (16), principalmente, (2) 
paraiso, (4), aguasm, (2) 
diferenca, (4), significativo, (2) 
menor, (4), aptidoes, (2) 
analise, (12), ambiental, (2) 
analise, (12), multivariada, (2) 
analise, (12), componente, (2) 
geografica, (4), presente, (2) 
portanto, (8), qualquer, (2) 
portanto, (8), sensivel, (2) 
fortemente, (4), geologia, (2) 
prejuizo, (4), tal, (2) 
utilizacao, (8), metodologia, (2) 
utilizacao, (8), geotecnologia, (2) 
qualidade, (4), inventario, (2) 
proposicao, (4), diretriz, (2) 
geotecnologia, (18), informacao, (4) 
geotecnologia, (18), ferramenta, (2) 
geotecnologia, (18), etapa, (2) 
geotecnologia, (18), livre, (2) 
capaz, (4), procedimento, (2) 
desenvolvimento, (4), tecnologia, (2) 
-, (4), m, (2) 
freatico, (4), resultado, (2) 
importante, (4), planejamento, (2) 
nitrato, (4), migracao, (2) 
distinto, (4), independente, (2) 
dagua, (4), cujo, (2) 
tecnica, (4), especifica, (2) 
animal, (4), objetivo, (2) 
geoprocessamento, (4), dado, (2) 
programo, (4), proprietario, (2) 
urbano, (40), obstante, (2) 
urbano, (40), existencia, (2) 
urbano, (40), utilizacao, (2) 
urbano, (40), metodologia, (2) 
urbano, (40), elemento, (2) 
urbano, (40), software, (2) 
urbano, (40), imagem, (2) 
urbano, (40), personagem, (2) 
urbano, (40), arborizacao, (2) 
urbano, (40), estudo, (2) 
alcalinidade, (4), caminho, (2) 
capacidade, (4), processamento, (2) 
objeto, (12), software, (2) 
objeto, (12), softwar, (2) 
objeto, (12), programa, (2) 
testemunho, (4), populacao, (2) 
sul, (4), cada, (2) 
arenito, (4), mineralizadas, (2) 
planejamento, (28), abertura, (2) 
planejamento, (28), urbano, (6) 
planejamento, (28), paisagem, (2) 
planejamento, (28), urbanodesenvolvimento, (2) 
planejamento, (28), risco, (2) 
anterior, (4), composicao, (2) 
matriz, (4), observacao, (2) 
arte, (4), respeito, (2) 
objetivo, (8), pesquisa, (2) 
objetivo, (8), estudo, (2) 
migracao, (4), eixo, (2) 
brejao, (4), microbacia, (2) 
urbana, (8), arvore, (2) 
urbana, (8), impacto, (2) 
personagem, (4), essencial, (2) 
paisagemmeio, (4), biofisicosensoriamento, (2) 
componente, (4), principal, (2) 
diversos, (4), desafio, (2) 
respeito, (8), producao, (2) 
respeito, (8), classificacao, (2) 
arvore, (16), urbano, (2) 
arvore, (16), desvantagem, (2) 
arvore, (16), urbanasplanejamento, (2) 
arvore, (16), diversos, (2) 
toxico, (4), agua, (2) 
turbidez, (4), agua, (2) 
ce, (4), quimica, (2) 
aguasm, (4), estudo, (2) 
diferente, (4), local, (2) 
urbanodesenvolvimento, (4), urbanoanalise, (2) 
m, (4), pantanal, (2) 
contigua, (4), durante, (2) 
tc, (4), condutividade, (2) 
exploracao, (4), tema, (2) 
descarga, (4), domestica, (2) 
resolucao, (12), objetivo, (2) 
resolucao, (12), arborizacao, (2) 
resolucao, (12), landsat, (2) 
seguinte, (4), parametro, (2) 
processamento, (4), maquina, (2) 
x, (4), variavel, (2) 
quimica, (12), principal, (2) 
quimica, (12), microbacia, (2) 
quimica, (12), fortemente, (2) 
eletrica, (8), ce, (2) 
eletrica, (8), portanto, (2) 
hidroquimicaqualidade, (4), aguaacppantanal, (2) 
desmatamento, (4), descarga, (2) 
proveniente, (4), formacao, (2) 
transformacao, (4), paisagem, (2) 
condutividade, (8), eletrica, (4) 
acp, (4), analise, (2) 
resposta, (4), futuro, (2) 
grosso, (4), -, (2) 
mapeamento, (4), planejamento, (2) 
quantidade, (4), copa, (2) 
estudo, (42), utilizacao, (2) 
estudo, (42), caso, (2) 
estudo, (42), diretriz, (2) 
estudo, (42), causa, (2) 
estudo, (42), processo, (2) 
estudo, (42), classificacao, (2) 
estudo, (42), geografico, (2) 
estudo, (42), arborizacao, (2) 
estudo, (42), especifica, (2) 
estudo, (42), planejamento, (2) 
estudo, (42), anterior, (2) 
area, (8), planalto, (2) 
area, (8), grande, (2) 
realizacao, (4), microbacia, (2) 
quantificacao, (4), automatica, (2) 
geoquimico, (4), agua, (2) 
livre, (26), sig, (2) 
livre, (26), identificacao, (2) 
livre, (26), imagem, (2) 
livre, (26), capaz, (2) 
livre, (26), estudo, (2) 
livre, (26), planejamento, (2) 
atividade, (4), antropogenica, (2) 
detectavel, (4), km, (2) 
eixo, (8), fatorial, (4) 
abertura, (4), exploracao, (2) 
altura, (4), lencol, (2) 
independente, (4), mineralizacao, (2) 
internet, (4), mapeamento, (2) 
geoquimica, (4), realizacao, (2) 
recurso, (4), uso, (2) 
etapa, (12), importante, (2) 
etapa, (12), analis, (2) 
etapa, (12), longo, (2) 
conalto, (4), tipo, (2) 
desvantagem, (4), tempo, (2) 
florestal, (4), etapa, (2) 
agricultura, (4), criacao, (2) 
sig, (4), codigo, (2) 
softwar, (4), livre, (2) 
formacao, (4), arenito, (2) 
durante, (4), missao, (2) 
rico, (8), nitrato, (2) 
rico, (8), potassio, (2) 
resultado, (8), alteracao, (2) 
resultado, (8), estudo, (2) 
significativo, (8), ph, (2) 
significativo, (8), agua, (2) 
identificacao, (4), arvore, (2) 
