Vertice, peso (V), Aresta, peso (A)
demanda, (2), global, (1) 
, (2), milhoes, (1) 
perda, (14), economica, (1) 
perda, (14), producao, (2) 
perda, (14), vegetacao, (1) 
perda, (14), us, (2) 
perda, (14), prejuizo, (1) 
sistema, (2), dupla, (1) 
agropecuaria, (2), area, (1) 
inicio, (2), chuvoso, (1) 
bioma, (4), clima, (1) 
bioma, (4), ce, (1) 
regiao, (10), ameaca, (1) 
regiao, (10), hotspot, (2) 
regiao, (10), sistema, (1) 
regiao, (10), agropecuaria, (1) 
dupla, (2), safra, (1) 
preocupacao, (2), clima, (1) 
clima, (10), normal, (1) 
clima, (10), agronegocio, (1) 
clima, (10), extremo, (1) 
clima, (10), regional, (1) 
clima, (10), mudanca, (1) 
vie, (2), social, (1) 
milhoes, (2), tonelada, (1) 
caso, (2), objetivo, (1) 
enfoque, (2), area, (1) 
implementacao, (2), turismo, (1) 
suscetivel, (2), variacao, (1) 
devastacao, (2), bioma, (1) 
metodo, (2), relevante, (1) 
emissao, (2), gas, (1) 
relevante, (2), publicacao, (1) 
prejuizo, (2), us, (1) 
ambiental, (2), cenario, (1) 
climatico, (2), capitulo, (1) 
brasileiro, (13), ce, (1) 
brasileiro, (13), resposta, (1) 
brasileiro, (13), dado, (1) 
brasileiro, (13), soja, (1) 
brasileiro, (13), producao, (1) 
brasileiro, (13), grao, (1) 
municipio, (4), metodo, (1) 
municipio, (4), mina, (1) 
atrativo, (2), turistico, (1) 
torna-se, (2), cada, (1) 
eleva-se, (2), regiao, (1) 
desenvolvimento, (6), sustentavel, (1) 
desenvolvimento, (6), turismo, (2) 
capaz, (2), potencializar, (1) 
carne, (2), ameaca, (1) 
criacao, (2), cenario, (1) 
coleta, (2), informacao, (1) 
determinante, (2), espacial, (1) 
publicacao, (2), lucc, (1) 
agronegocio, (2), brasileiro, (1) 
explicito, (2), desmatamento, (1) 
turistico, (2), criacao, (1) 
equivalente, (2), us, (1) 
climatica, (12), regional, (2) 
climatica, (12), producao, (1) 
climatica, (12), global, (2) 
climatica, (12), contexto, (1) 
producao, (10), brasileiro, (2) 
producao, (10), grao, (1) 
producao, (10), agricola, (2) 
variavel, (2), modelagem, (1) 
alimento, (2), biocombustivel, (1) 
concluimo, (2), quantidade, (1) 
frequentemente, (2), recentemente, (1) 
setor, (2), suscetivel, (1) 
abordagem, (2), capaz, (1) 
governanca, (2), territorial, (1) 
bilhao, (6), equivalente, (1) 
bilhao, (6), soja, (1) 
bilhao, (6), us, (1) 
hotspot, (4), area, (1) 
hotspot, (4), atrativo, (1) 
periodo, (2), longo, (1) 
potencialidade, (2), implementacao, (1) 
fundamental, (2), capitulo, (1) 
sustentavel, (12), gestao, (1) 
sustentavel, (12), municipio, (1) 
sustentavel, (12), brumado, (2) 
sustentavel, (12), modelagem, (1) 
sustentavel, (12), cenario, (1) 
global, (6), problematica, (1) 
global, (6), eleva-se, (1) 
global, (6), alimento, (1) 
sul, (2), amazonia, (1) 
agricola, (4), brasileiro, (1) 
agricola, (4), amazonia, (1) 
janela, (2), cultivo, (1) 
objetivo, (2), simular, (1) 
precipitacao, (2), pixel, (1) 
sazonalidade, (2), volume, (1) 
biocombustivel, (2), entretanto, (1) 
longo, (4), produtor, (1) 
longo, (4), regiao, (1) 
cultivado, (2), alto, (1) 
espacial, (2), sazonalidade, (1) 
investigacao, (2), quantificamo, (1) 
mudanca, (12), climatica, (5) 
