Vertice, peso (V), Aresta, peso (A)
perda, (14), economica, (1) 
perda, (14), producao, (2) 
perda, (14), vegetacao, (1) 
perda, (14), us, (2) 
perda, (14), prejuizo, (1) 
us, (14), milhoesano, (2) 
us, (14), bilhao, (1) 
us, (14), bilhoesano, (1) 
us, (14), milhao, (3) 
brasileiro, (13), ce, (1) 
brasileiro, (13), resposta, (1) 
brasileiro, (13), dado, (1) 
brasileiro, (13), soja, (1) 
brasileiro, (13), producao, (1) 
brasileiro, (13), grao, (1) 
climatica, (12), regional, (2) 
climatica, (12), producao, (1) 
climatica, (12), global, (2) 
climatica, (12), contexto, (1) 
sustentavel, (12), gestao, (1) 
sustentavel, (12), municipio, (1) 
sustentavel, (12), brumado, (2) 
sustentavel, (12), modelagem, (1) 
sustentavel, (12), cenario, (1) 
mudanca, (12), climatica, (5) 
mudanca, (12), solo, (1) 
soja, (12), milho, (5) 
soja, (12), carne, (1) 
turismo, (12), vie, (1) 
turismo, (12), sustentavel, (5) 
cenario, (11), cobertura, (2) 
cenario, (11), mapeamento, (1) 
cenario, (11), futuro, (1) 
cenario, (11), simulacao, (1) 
regiao, (10), ameaca, (1) 
regiao, (10), hotspot, (2) 
regiao, (10), sistema, (1) 
regiao, (10), agropecuaria, (1) 
